My ID System,Name german,Name english,Sprite,Shiny Sprite,Nom français
1,Bisasam,Bulbasaur,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0001_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0001_000_mf_n_00000000_f_r.png,Bulbizarre
2,Bisaknosp,Ivysaur,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0002_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0002_000_mf_n_00000000_f_r.png,Herbizarre
3,Bisaflor,Venusaur,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_r.png,Florizarre
3_m,Bisaflor ♂,Venusaur ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_r.png,Florizarre ♂
3_w,Bisaflor ♀,Venusaur ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_fd_n_00000000_f_r.png,Florizarre ♀
3_mega,Mega Bisaflor,Mega Venusaur,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_001_mf_n_00000000_f_r.png,Méga Florizarre
3_gmax,Gmax Bisaflor,Gmax Venusaur,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_mf_g_00000000_f_r.png,Florizarre Gigamax
4,Glumanda,Charmander,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0004_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0004_000_mf_n_00000000_f_r.png,Salamèche
5,Glutexo,Charmeleon,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0005_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0005_000_mf_n_00000000_f_r.png,Reptincel
6,Glurak,Charizard,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_n_00000000_f_r.png,Dracaufeu
6_mega_x,Mega Glurak X,Mega Charizard X,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_001_mf_n_00000000_f_r.png,Méga Dracaufeu X
6_mega_y,Mega Glurak Y,Mega Charizard Y,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_002_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_002_mf_n_00000000_f_r.png,Méga Dracaufeu Y
6_gmax,Gmax Glurak,Gmax Charizard,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_g_00000000_f_r.png,Dracaufeu Gigamax
7,Schiggy,Squirtle,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0007_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0007_000_mf_n_00000000_f_r.png,Carapuce
8,Schillok,Wartortle,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0008_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0008_000_mf_n_00000000_f_r.png,Carabaffe
9,Turtok,Blastoise,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_n_00000000_f_r.png,Tortank
9_mega,Mega Turtok,Mega Blastoise,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_001_mf_n_00000000_f_r.png,Méga Tortank
9_gmax,Gmax Turtok,Gmax Blastoise,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_g_00000000_f_r.png,Tortank Gigamax
10,Raupy,Caterpie,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0010_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0010_000_mf_n_00000000_f_r.png,Chenipan
11,Safcon,Metapod,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0011_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0011_000_mf_n_00000000_f_r.png,Chrysacier
12,Smettbo,Butterfree,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_r.png,Papilusion
12_m,Smettbo ♂,Butterfree ♂,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_r.png,Papilusion ♂
12_w,Smettbo ♀,Butterfree ♀,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_fd_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_fd_n_00000000_f_r.png,Papilusion ♀
12_gmax,Gmax Smettbo,Gmax Butterfree,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_mf_g_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_mf_g_00000000_f_r.png,Papilusion Gigamax
13,Hornliu,Weedle,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0013_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0013_000_mf_n_00000000_f_r.png,Aspicot
14,Kokuna,Kakuna,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0014_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0014_000_mf_n_00000000_f_r.png,Coconfort
15,Bibor,Beedrill,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_000_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_000_mf_n_00000000_f_r.png,Dardargnan
15_mega,Mega Bibor,Mega Beedrill,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_001_mf_n_00000000_f_n.png,https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0015_001_mf_n_00000000_f_r.png,Méga Dardargnan
