National Dex,Name,Sprite,Caught,"0,00%",,Boxable Forms,Name,Sprite,Caught,"0,00%",,Alolan,Name,Sprite,Caught,"0,00%",,Galarian,Name,Sprite,Caught,"0,00%",,Hisuian,Name,Sprite,Caught,"0,00%",,Paldean,Name,Sprite,Caught,"0,00%",,Gender Variation,Name,Sprite,Caught,"0,00%",,Mega,Name,Sprite,Caught,"0,00%",,Gmax,Name,Sprite,Caught,"0,00%",,Gmax Forms,Name,Sprite,Caught,"0,00%"
1,Bulbasaur,,FALSE,,,1,Partner Cap Pikachu,,FALSE,,,1,Alolan Rattata,,FALSE,,,1,Galarian Meowth,,FALSE,,,1,Hisuian Growlithe,,FALSE,,,1,Paldean Tauros,,FALSE,,,1,Venusaur ♂,,FALSE,,,1,Mega Venusaur,,FALSE,,,1,Bulbasaur,,,,,1,Venusaur ♂,,FALSE,
2,Ivysaur,,FALSE,,,2,Paldean Tauros Combat Breed,,FALSE,,,2,Alolan Raticate,,FALSE,,,2,Galarian Ponyta,,FALSE,,,2,Hisuian Arcanine,,FALSE,,,2,Paldean Wooper,,FALSE,,,2,Venusaur ♀,,FALSE,,,2,Mega Charizard X,,FALSE,,,2,Ivysaur,,,,,2,Venusaur ♀,,FALSE,
3,Venusaur,,FALSE,,,3,Paldean Tauros Blaze Breed,,FALSE,,,3,Alolan Raichu,,FALSE,,,3,Galarian Rapidash,,FALSE,,,3,Hisuian Voltorb,,FALSE,,,,,,,,,3,Butterfree ♂,,FALSE,,,3,Mega Charizard Y,,FALSE,,,3,Gmax Venusaur,,FALSE,,,3,Butterfree ♂,,FALSE,
4,Charmander,,FALSE,,,4,Paldean Tauros Aqua Breed,,FALSE,,,4,Alolan Sandshrew,,FALSE,,,4,Galarian Slowpoke,,FALSE,,,4,Hisuian Electrode,,FALSE,,,,,,,,,4,Butterfree ♀,,FALSE,,,4,Mega Blastoise,,FALSE,,,4,Charmander,,,,,4,Butterfree ♀,,FALSE,
5,Charmeleon,,FALSE,,,5,Unown-A,,FALSE,,,5,Alolan Sandslash,,FALSE,,,5,Galarian Slowbro,,FALSE,,,5,Hisuian Typhlosion,,FALSE,,,,,,,,,5,Rattata ♂,,FALSE,,,5,Mega Beedrill,,FALSE,,,5,Charmeleon,,,,,5,Pikachu ♂,,FALSE,
6,Charizard,,FALSE,,,6,Unown-B,,FALSE,,,6,Alolan Vulpix,,FALSE,,,6,Galarian Farfetch'd,,FALSE,,,6,Hisui Qwilfish,,FALSE,,,,,,,,,6,Rattata ♀,,FALSE,,,6,Mega Pidgeot,,FALSE,,,6,Gmax Charizard,,FALSE,,,6,Pikachu ♀,,FALSE,
7,Squirtle,,FALSE,,,7,Unown-C,,FALSE,,,7,Alolan Ninetales,,FALSE,,,7,Galarian Weezing,,FALSE,,,7,Hisui Sneasel,,FALSE,,,,,,,,,7,Raticate ♂,,FALSE,,,7,Mega Alakazam,,FALSE,,,7,Squirtle,,,,,7,Eevee ♂,,FALSE,
8,Wartortle,,FALSE,,,8,Unown-D,,FALSE,,,8,Alolan Diglett,,FALSE,,,8,Galarian Mr. Mime,,FALSE,,,8,Hisuian Samurott,,FALSE,,,,,,,,,8,Raticate ♀,,FALSE,,,8,Mega Slowbro,,FALSE,,,8,Wartortle,,,,,8,Eevee ♀,,FALSE,
9,Blastoise,,FALSE,,,9,Unown-E,,FALSE,,,9,Alolan Dugtrio,,FALSE,,,9,Galarian Articuno,,FALSE,,,9,Hisui Lilligant,,FALSE,,,,,,,,,9,Pikachu ♂,,FALSE,,,9,Mega Gengar,,FALSE,,,9,Gmax Blastoise,,FALSE,,,9,Toxtricity Amped,,FALSE,
10,Caterpie,,FALSE,,,10,Unown-F,,FALSE,,,10,Alolan Mewoth,,FALSE,,,10,Galarian Zapdos,,FALSE,,,10,Hisuian Zorua,,FALSE,,,,,,,,,10,Pikachu ♀,,FALSE,,,10,Mega Kangaskhan,,FALSE,,,10,Gmax Butterfree,,FALSE,,,10,Toxtricity Low Key,,FALSE,
